編號,案類,發生日期,發生時段,發生地點
86,機車竊盜,1070628,22~24,臺北市文山區景仁里羅斯福路6段31~60號
87,機車竊盜,1070701,04~06,臺北市大安區仁愛里復興南路1段177巷
88,機車竊盜,1070704,00~02,臺北市內湖區康樂街151巷內
89,機車竊盜,1070705,04~06,臺北市北投區中庸里大業路691~720號
90,機車竊盜,1070705,12~14,臺北市北投區八仙里崇仁路1段(與三合街2段口)
91,機車竊盜,1070705,14~16,臺北市大同區民族西路225巷1~30號
92,機車竊盜,1070706,00~02,臺北市大安區通化里通化街19巷6弄
93,機車竊盜,1070710,04~06,臺北市大同區迪化街2段301~330號
94,機車竊盜,1070711,16~18,臺北市內湖區成功路4段324巷口
95,機車竊盜,1070712,08~10,臺北市中山區建國北路3段81巷1~30號
96,機車竊盜,1070712,08~10,臺北市中山區建國北路3段81巷1~30號
97,機車竊盜,1070713,08~10,臺北市中山區建國北路3段81巷1~30號
98,機車竊盜,1070714,18~20,臺北市中山區林森北路421~450號
99,機車竊盜,1070715,14~16,臺北市內湖區港墘里港墘路31~60號
100,機車竊盜,1070716,08~10,臺北市大同區迪化街2段301~330號
101,機車竊盜,1070720,06~08,臺北市中山區合江街36巷31~60號
102,機車竊盜,1070721,00~02,臺北市大安區敦安里安和路1段112巷1~30號
103,機車竊盜,1070723,22~24,臺北市大安區通化里通化街39巷49弄1~30號
104,機車竊盜,1070724,06~08,臺北市萬華區環河南路2段241~270號
105,機車竊盜,1070726,00~02,臺北市萬華區中華路2段364巷22弄(口處)
106,機車竊盜,1070726,14~16,臺北市信義區吳興街
107,機車竊盜,1070727,10~12,臺北市文山區順興里007鄰木新路2段241~270號
108,機車竊盜,1070727,16~18,臺北市萬華區西園路2段271~300號
109,機車竊盜,1070728,02~04,臺北市南港區新富里研究院路1段2巷1~30號
110,機車竊盜,1070728,06~08,臺北市文山區樟新里011鄰木新路3段301~330號
111,機車竊盜,1070728,10~12,臺北市中正區文盛里羅斯福路4段12巷(內)
112,機車竊盜,1070729,04~06,臺北市大安區延吉街131巷1弄31~60號
113,機車竊盜,1070801,14~16,臺北市大同區承德路1段1~30號
114,機車竊盜,1070802,06~08,臺北市士林區蘭雅里中山北路6段290巷7弄
115,機車竊盜,1070802,18~20,臺北市信義區四維里虎林街70巷31~60號
116,機車竊盜,1070803,22~24,臺北市中山區松江路431巷1~30號
117,機車竊盜,1070804,02~04,臺北市萬華區環河南路2段125巷1~30號
118,機車竊盜,1070807,14~16,臺北市信義區富台里忠孝東路5段1~30號
119,機車竊盜,1070808,16~18,臺北市大同區西寧北路61~90號
120,機車竊盜,1070809,02~04,臺北市松山區八德路3段158巷20弄1~30號
121,機車竊盜,1070809,14~16,臺北市萬華區富民路145巷15弄1~30號
122,機車竊盜,1070809,18~20,臺北市士林區富光里葫蘆街61~90號
123,機車竊盜,1070810,16~18,臺北市大安區錦華里潮州街26巷1~30號
124,機車竊盜,1070810,22~24,臺北市大安區法治里通化街171巷30弄1~30號
125,機車竊盜,1070811,18~20,臺北市大同區長安西路172巷
126,機車竊盜,1070812,06~08,臺北市信義區虎林街101巷1~30號
127,機車竊盜,1070813,00~02,臺北市中正區忠勤里中華路2段315巷1~30號
128,機車竊盜,1070816,04~06,臺北市萬華區雙園街61~90號
129,機車竊盜,1070816,04~06,臺北市萬華區大理街160巷19弄31~60號
130,機車竊盜,1070816,04~06,臺北市大安區芳和里和平東路3段212巷31~60號
131,機車竊盜,1070816,04~06,臺北市大安區住安里信義路4段30巷27弄1~30號
132,機車竊盜,1070818,08~10,臺北市大安區臨江街40巷1~30號
133,機車竊盜,1070818,10~12,臺北市中山區中山北路2段77巷1~30號
134,機車竊盜,1070820,04~06,臺北市信義區臺鐵松山車站西邊機車停車場
135,機車竊盜,1070822,06~08,臺北市中山區新生北路3段1~30號
136,機車竊盜,1070822,08~10,臺北市中正區黎明里南陽街1~30號
137,機車竊盜,1070824,04~06,臺北市大安區龍坡里泰順街31~60號
138,機車竊盜,1070824,06~08,臺北市文山區萬美里010鄰萬美街1段91~120號
139,機車竊盜,1070826,10~12,臺北市大同區太原路91~120號
140,機車竊盜,1070826,16~18,臺北市松山區南京東路4段75巷1~30號
141,機車竊盜,1070827,02~04,臺北市萬華區民和街31~60號
142,機車竊盜,1070831,12~14,臺北市大安區學府里羅斯福路4段1~30號
143,機車竊盜,1070831,12~14,臺北市大安區群賢里復興南路2段171巷1~30號
144,機車竊盜,1070901,00~02,臺北市中山區南大路(靠近青草湖)
145,機車竊盜,1070901,16~18,臺北市萬華區環河南路2段181~210號
146,機車竊盜,1070903,22~24,臺北市大同區太原路133巷1~30號
147,機車竊盜,1070905,02~04,臺北市士林區通河東路2段20巷
148,機車竊盜,1070905,12~14,臺北市信義區松仁路202巷2弄31~60號
149,機車竊盜,1070905,12~14,臺北市信義區六合里松仁路202巷2弄31~60號
150,機車竊盜,1070906,20~22,臺北市中山區民生東路1段23巷1~30號
151,機車竊盜,1070907,00~02,臺北市文山區萬芳里009鄰萬安街121~150號
152,機車竊盜,1070908,08~10,臺北市松山區八德路4段106巷6弄1~30號
153,機車竊盜,1070910,22~24,臺北市信義區黎安里和平東路3段509巷31~60號
154,機車竊盜,1070912,06~08,臺北市大同區哈密街91~120號
155,機車竊盜,1070914,16~18,臺北市士林區通河街91~120號
156,機車竊盜,1070919,16~18,臺北市北投區中央里中央南路1段181~210號
157,機車竊盜,1070919,22~24,臺北市萬華區(萬大路與富民路口)
158,機車竊盜,1070920,22~24,臺北市中山區新生北路2段31~60號
159,機車竊盜,1070923,14~16,臺北市萬華區和平西路3段361~390號
160,機車竊盜,1070925,18~20,臺北市內湖區瑞光路66巷口
161,機車竊盜,1070926,16~18,臺北市松山區寧安街7巷1~30號
162,機車竊盜,1070928,04~06,臺北市信義區中行里福德街301~330號
163,機車竊盜,1071002,20~22,臺北市中山區新生北路3段55巷停車格
164,機車竊盜,1071003,00~02,臺北市大同區鄭州路121~150號
165,機車竊盜,1071004,04~06,臺北市文山區萬祥里羅斯福路5段211巷26弄1~30號
166,機車竊盜,1071004,20~22,臺北市松山區八德路4段451~480號
167,機車竊盜,1071006,22~24,臺北市北投區中央北路4段511~540號
168,機車竊盜,1071009,12~14,臺北市文山區興得里興隆路3段192巷8弄1~30號
169,機車竊盜,1071010,08~10,臺北市大安區通化里通化街39巷49弄1~30號
170,機車竊盜,1071010,08~10,臺北市中山區林森北路485巷內
171,機車竊盜,1071012,10~12,臺北市大同區重慶北路3段151~180號
172,機車竊盜,1071015,14~16,臺北市中山區林森北路241~270號
173,機車竊盜,1071016,00~02,臺北市信義區正和里光復南路419巷1~30號
174,機車竊盜,1071020,16~18,臺北市松山區光復南路31~60號
175,機車竊盜,1071022,00~02,臺北市中山區新生北路3段82巷1~30號
176,機車竊盜,1071025,06~08,臺北市大同區重慶北路1段83巷1~30號
177,機車竊盜,1071026,00~02,臺北市信義區中行里中坡南路271~300號
178,機車竊盜,1071028,18~20,臺北市萬華區康定路361~390號
179,機車竊盜,1071031,04~06,臺北市中山區錦州街301~330號
180,機車竊盜,1071101,00~02,臺北市萬華區西藏路181~210號
181,機車竊盜,1071101,10~12,臺北市中山區南京東路2段121~150號
182,機車竊盜,1071102,10~12,臺北市北投區洲美路271~300號
183,機車竊盜,1071102,14~16,臺北市中山區民權西路10巷1~30號
184,機車竊盜,1071104,02~04,臺北市大同區重慶北路3段271~300號
185,機車竊盜,1071108,18~20,臺北市中正區襄陽路1~30號
186,機車竊盜,1071110,20~22,臺北市信義區忠孝東路5段790巷68弄1~30號
187,機車竊盜,1071112,08~10,臺北市大同區酒泉街121~150號
188,機車竊盜,1071112,16~18,臺北市萬華區環河南路2段280巷1~30號
189,機車竊盜,1071113,00~02,"臺北市中正區市民大道2段?臺北車站M2出口機車停車"""
190,機車竊盜,1071113,12~14,臺北市北投區榮光里石牌路1段121~150號
191,機車竊盜,1071114,16~18,臺北市中山區濱江街180巷1~30號
192,機車竊盜,1071116,04~06,臺北市信義區景新里吳興街269巷18弄1~30號
193,機車竊盜,1071118,02~04,臺北市信義區信義路6段76巷8弄1~30號
194,機車竊盜,1071118,06~08,臺北市信義區福德街165巷1~30號
195,機車竊盜,1071119,12~14,臺北市萬華區木柵路4段121~150號
196,機車竊盜,1071121,20~22,臺北市萬華區長泰街76巷1~30號
197,機車竊盜,1071122,06~08,臺北市中山區林森北路399巷1~30號
198,機車竊盜,1071124,10~12,臺北市中正區文盛里羅斯福路3段211~240號
199,機車竊盜,1071125,02~04,臺北市大同區民權西路292巷1~30號
200,機車竊盜,1071129,06~08,臺北市信義區虎林街31~60號
201,機車竊盜,1071201,18~20,臺北市中山區農安街241~270號
202,機車竊盜,1071207,20~22,臺北市大同區哈密街23巷1~30號
